hs_code,description,version
03024300,"sardines (sardina pilchardus, sardinops spp), sardinella (sardinella spp), brisling or sprats (sprattus
sprattus), fresh or chilled",2022
03024400,"mackerel (scomber scombrus, scomber australasicus, scomber japonicus), fresh or chilled",2022
03024500,"jack and horse mackerel (trachurus spp), fresh or chilled",2022
03024600,"cobia (rachycentron canadum), fresh or chilled",2022
03024700,"swordfish (xiphias gladius), fresh or chilled",2022
03024900,"sardinella, brisling or sprats, indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, pacific saury, scads, capelin, kawakawa, bonitos, marlins, sailfishes, spearfish, fresh or chilled",2022
03025100,"cod (gadus morhua, gadus ogac, gadus macrocephalus), fresh or chilled",2022
03025200,"haddock (melanogrammus aeglefinus), fresh or chilled",2022
03025300,"coalfish (pollachius virens), fresh or chilled",2022
03025400,"hake (merluccius spp, urophycis spp), fresh or chilled",2022
03025500,"alaska pollock (theragra chalcogramma), fresh or chilled",2022
03025600,"blue whitings (micromesistius poutassou, micromesistius australis), fresh or chilled",2022
03025900,"fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae other than of hs 030251-030256, fresh or chilled",2022
03027100,"tilapias (oreochromis spp), fresh or chilled",2022
03027210,"yellowtail catfish (pangasius pangasius), fresh or chilled",2022
03027290,"catfish (pangasius spp, silurus spp, clarias spp, ictalurus spp) other than yellowtail catfish, fresh or chilled",2022
03027300,"carp (cyprinus, carassius, ctenopharyngodon idellus, hypophthalmichthys, cirrhinus, mylopharyngodon piceus, catla catla, labeo, osteochilus hasselti, leptobarbus hoeveni, megalobrama), fresh or chilled",2022
03027400,"eels (anguilla spp), fresh or chilled",2022
03027900,"nile perch (lates niloticus) and snakeheads (channa spp), fresh or chilled",2022
03028100,"dogfish and other sharks, fresh or chilled",2022
03028200,"rays and skates (rajidae), fresh or chilled",2022
03028300,"toothfish (dissostichus spp), fresh or chilled",2022
03028400,"seabass (dicentrarchus spp), fresh or chilled",2022
03028500,"seabream (sparidae), fresh or chilled",2022
03028911,"grouper, fresh or chilled",2022
03028912,"longfin mojarra (pentaprion longimanus), fresh or chilled",2022
03028913,"bluntnose lizardfish (trachinocephalus myops), fresh or chilled",2022
03028914,"savalai hairtails (lepturacanthus savala), belanger’s croakers (johnius belangerii), reeve’s croakers
(chrysochir aureus) and bigeye croakers (pennahia anea), fresh or chilled",2022
03028915,"indian threadfins (polynemus indicus), fresh or chilled",2022
03028916,"torpedo scads (megalaspis cordyla), spotted sicklefish (drepane punctata) and great barracudas
(sphyraena barracuda), fresh or chilled",2022
03028917,"black pomfrets (parastromatus niger), fresh or chilled",2022
03028918,"mangrove red snappers (lutjanus argentimaculatus), fresh or chilled",2022
03028919,"fresh or chilled marine fish, other than hs code 03028911 to 03028918",2022
03028922,"swamp barb (puntius chola), fresh or chilled",2022
03028923,"silver grunts (pomadasys argenteus), fresh or chilled",2022
03028927,"hilsa shad (tenualosa ilisha), fresh or chilled",2022
03028928,"wallago (wallago attu) and giant river-catfish (sperata seenghala), fresh or chilled",2022
03028929,"fresh or chilled fish other than marine fish, other than hs code 03028922 to 03028929",2022
03029100,"livers, roes and milt, fresh or chilled",2022
03029200,"shark fins, fresh or chilled",2022
03029900,"heads, tails, maws and other edible fish offal, other than shark fins, livers, roes and milt, fresh or chilled",2022
03031100,"sockeye salmon (red salmon) (oncorhynchus nerka), frozen",2022
03031200,"pacific salmon (oncorhynchus gorbuscha, oncorhynchus keta, oncorhynchus tschawytscha, oncorhynchus kisutch, oncorhynchus masou and oncorhynchus rhodurus), frozen",2022
03031300,"atlantic salmon (salmo salar) and danube salmon (hucho hucho), frozen",2022
03031400,"trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster), frozen",2022
03031900,"salmonidae other than sockeye salmon, pacific salmon, atlantic salmon, trout, frozen",2022
03032300,"tilapias (oreochromis spp), frozen",2022
03032400,"catfish (pangasius spp, silurus spp, clarias spp, ictalurus spp), frozen",2022
03032500,"carp (cyprinus, carassius, ctenopharyngodon idellus, hypophthalmichthys, cirrhinus, mylopharyngodon piceus, catla catla, labeo, osteochilus hasselti, leptobarbus hoeveni, megalobrama), frozen",2022
03032600,"eels (anguilla spp), frozen",2022
03032900,"nile perch (lates niloticus) and snakeheads (channa spp), frozen",2022
03033100,"halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), frozen",2022
03033200,"plaice (pleuronectes platessa), frozen",2022
03033300,"sole (solea spp), frozen",2022
03033400,"turbots (psetta maxima), frozen",2022
03033900,"flat fish (pleuronectidae, bothidae, cynoglossidae, soleidae, scophthalmidae and citharidae) other than
halibut, plaice, sole, turbots, frozen",2022
03034100,"albacore or longfinned tunas (thunnus alalunga), frozen",2022
03034200,"yellowfin tunas (thunnus albacares), frozen",2022
03034300,"skipjack tuna (stripe-bellied bonito) (katsuwonus pelamis), frozen",2022
03034400,"bigeye tunas (thunnus obesus), frozen",2022
03034510,"atlantic bluefin tunas (thunnus thynnus, thunnus orientalis), frozen",2022
03034590,"pacific bluefin tunas (thunnus thynnus, thunnus orientalis), frozen",2022
03034600,"southern bluefin tunas (thunnus maccoyii), frozen",2022
03034910,"longtail tuna (thunnus tonggol), frozen",2022
03034990,"tunas (of the genus thunnus), other than hs code 03024100 to 03024910, frozen",2022
03035100,"herrings (clupea harengus, clupea pallasii), frozen",2022
03035300,"sardines (sardina pilchardus, sardinops spp), sardinella (sardinella spp), brisling or sprats (sprattus
sprattus), frozen",2022
03035410,"mackerel (scomber scombrus, scomber australasicus), frozen",2022
03035420,"pacific mackerel (scomber japonicus), frozen",2022
03035500,"jack and horse mackerel (trachurus spp), frozen",2022
03035600,"cobia (rachycentron canadum), frozen",2022
03035700,"swordfish (xiphias gladius), frozen",2022
03035910,"indian mackerels (rastrelliger kanagurta), island mackerels (rastrelliger faughni), frozen",2022
03035920,"silver pomfrets (pampus spp), frozen",2022
03035990,"anchovies, brisling or sprats, scomberomorus spp, caranx spp, pacific saury, decapterus spp, capelin,
euthynnusaffinis, sarda spp, marlins, sailfishes, istiophoridae, frozen",2022
03036300,"cod (gadus morhua, gadus ogac, gadus macrocephalus), frozen",2022
03036400,"haddock (melanogrammus aeglefinus), frozen",2022
03036500,"coalfish (pollachius virens), frozen",2022
03036600,"hake (merluccius spp, urophycis spp), frozen",2022
03036700,"alaska pollock (theragra chalcogramma), frozen",2022
03036800,"blue whitings (micromesistius poutassou, micromesistius australis), frozen",2022
03036900,"fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae,
moridae and muraenolepididae other than of hs code 030336-030368, frozen",2022
03038100,"dogfish and other sharks, frozen",2022
03038200,"rays and skates (rajidae), frozen",2022
03038300,"toothfish (dissostichus spp), frozen",2022
03038400,"seabass (dicentrarchus spp), frozen",2022
03038911,"grouper, frozen",2022
03038913,"bluntnose lizardfish (trachinocephalus myops), frozen",2022
03038914,"savalai hairtails (lepturacanthus savala), belanger’s croakers (johnius belangerii), reeve’s croakers
(chrysochir aureus) and bigeye croakers (pennahia anea), frozen",2022
03038915,"indian threadfins (polynemus indicus), frozen",2022
03038916,"torpedo scads (megalaspis cordyla), spotted sicklefish (drepane punctata) and great barracudas
(sphyraena barracuda), frozen",2022
03038917,"black pomfrets (parastromatus niger), frozen",2022
03038918,"mangrove red snappers (lutjanus argentimaculatus), frozen",2022
03038919,"frozen marine fish, other than hs code 03038911 to 03038918",2022
03038922,"swamp barb (puntius chola), frozen",2022
03038923,"milkfish (chanos chanos), frozen",2022
03038924,"silver grunts (pomadasys argenteus), frozen",2022
03038927,"hilsa shad (tenualosa ilisha), frozen",2022
03038928,"wallago (wallago attu) and giant river-catfish (sperata seenghala), frozen",2022
03038929,"frozen fish, other than marine fish, other than hs code 03038922 to 03038928",2022
03039100,"livers, roes and milt, frozen",2022
03039200,"shark fins, frozen",2022
03039900,"heads, tails, maws and other edible fish offal other than shark fins, livers, roes and milt, frozen",2022
03043100,fresh or chilled fillets of tilapias (oreochromis spp),2022
03043200,"fresh or chilled fillets of catfish (pangasius spp, silurus spp, clarias spp, ictalurus spp)",2022
03043300,fresh or chilled fillets of nile perch (lates niloticus),2022
03043900,"fresh/chilled fillets of carp (cyprinus, carassius, cteno. idellus, hypophthalmichthys, cirrhinus, myloph. piceus, catla, labeo, osteo. hasselti, lepto. hoeveni, megalobrama), eels (anguilla), channa",2022
03044100,"fresh/chilled fillets of pacific salmon (oncorhynchus nerka, oncor. gorbuscha, oncor. keta, oncor. tschawytscha, oncor. kisutch, oncor. masou and oncor. rhodurus), salmo salar and danube salmon",2022
03044200,"fresh or chilled fillets of trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster)",2022
03044300,"fresh or chilled fillets of flat fish (pleuronectidae, bothidae, cynoglossidae, soleidae, scophthalmidae and
citharidae)",2022
03044400,"fresh or chilled fillets of fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae,
melanonidae, merlucciidae, moridae and muraenolepididae",2022
03044500,fresh or chilled fillets of swordfish (xiphias gladius),2022
03044600,fresh or chilled fillets of toothfish (dissostichus spp),2022
03044700,fresh or chilled fillets of dogfish and other sharks,2022
03044800,fresh or chilled fillets of rays and skates (rajidae),2022
03044900,"fresh or chilled fillets of other fish, other than in subheading 030431 to 030448",2022
03045100,"fresh or chilled other fish meat (whether or not minced) of tilapias, catfish, carp, eels (anguilla spp), nile
perch (lates niloticus) and snakeheads (channa spp)",2022
03045200,fresh or chilled other fish meat (whether or not minced) of salmonidae,2022
03045300,"fresh or chilled other fish meat (whether or not minced) of fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae",2022
03045400,fresh or chilled other fish meat (whether or not minced) of swordfish (xiphias gladius),2022
03045500,fresh or chilled other fish meat (whether or not minced) of toothfish (dissostichus spp),2022
03045600,fresh or chilled other fish meat (whether or not minced) of dogfish and other sharks,2022
03045700,fresh or chilled other fish meat (whether or not minced) of rays and skates (rajidae),2022
03045900,"fresh or chilled other fish meat (whether or not minced) of other fish, other than in subheading 030451 to
030457",2022
03046100,frozen fillets of tilapias (oreochromis spp),2022
03046200,"frozen fillets of catfish (pangasius spp, silurus spp, clarias spp, ictalurus spp)",2022
03046300,frozen fillets of nile perch (lates niloticus),2022
03046900,"frozen fillets of carp (cyprinus, carassius, ctenoph. idellus, hypophthalmichthys, cirrhinus, myloph. piceus, catla catla, labeo, oste. hasselti, lepto. hoeveni, megalobrama spp), eels, channa spp",2022
03047100,"frozen fillets of cod (gadus morhua, gadus ogac, gadus macrocephalus)",2022
03047200,frozen fillets of haddock (melanogrammus aeglefinus),2022
03047300,frozen fillets of coalfish (pollachius virens),2022
03047400,"frozen fillets of hake (merluccius spp, urophycis spp)",2022
03047500,frozen fillets of alaska pollock (theragra chalcogramma),2022
03047900,"frozen fillets of fish of the families bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae other than hs 030471-030475",2022
03048100,"frozen fillets of pacific salmon(oncorhynchus nerka, oncor. gorbuscha, oncor. keta, oncor. tschawytscha, oncor. kisutch, oncor. masou, oncor. rhodurus), atlantic salmon (salmo salar) and danube salmon",2022
03048200,"frozen fillets of trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster)",2022
03048300,"frozen fillets of flat fish (pleuronectidae, bothidae, cynoglossidae, soleidae, scophthalmidae and
citharidae)",2022
03048400,frozen fillets of swordfish (xiphias gladius),2022
03048500,frozen fillets of toothfish (dissostichus spp),2022
03048600,"frozen fillets of herrings (clupea harengus, clupea pallasii)",2022
03048700,"frozen fillets of tunas (of the genus thunnus), skipjack tuna (stripe-bellied bonito) (katsuwonus pelamis)",2022
03048800,"frozen fillets of dogfish, other sharks, rays and skates (rajidae)",2022
03048910,frozen fillets of mahi-mahi (coryphaena hippurus),2022
03048990,"frozen fillets of other fish, other than hs code 03048100 to 03048910",2022
03049100,frozen other fish meat (whether or not minced) of swordfish (xiphias gladius),2022
03049200,frozen other fish meat (whether or not minced) of toothfish (dissostichus spp),2022
03049300,"frozen other fish meat (whether or not minced) of tilapias (oreochromis spp), catfish (pangasius spp, silurus spp, clarias spp, ictalurus spp), carp, eels (anguilla spp), nile perch (lates niloticus) and
snakeheads (channa spp)",2022
03049400,frozen other fish meat (whether or not minced) of alaska pollock (theragra chalcogramma),2022
03049500,"frozen other fish meat (whether/not minced) of fish of the fam. bregmacerotidae, euclichthyidae, gadidae, macrouridae, melanonidae, merlucciidae, moridae and muraenolepididae, oth than alaska pollock",2022
03049600,frozen other fish meat (whether or not minced) of dogfish and other sharks,2022
03049700,frozen other fish meat (whether or not minced) of rays and skates (rajidae),2022
03049910,frozen of surimi (minced fish meat),2022
03049990,"frozen other fish meat (whether or not minced) of other fish, other than hs code 03049100 to 03049910",2022
03052010,"livers, roes and milt of freshwater fish, dried, salted or in brine",2022
03052090,"livers, roes and milt of fish, smoked, dried, salted or in brine, other than freshwater fish, dried, salted or in
brine",2022
03053100,"fish fillets of tilapias, catfish, carp, eels (anguilla spp), nile perch (lates niloticus) and snakeheads
(channa spp), dried, salted or in brine, but not smoked",2022
